fid,sal_code_2021,sal_name_2021,Population,SAL Area,IRSAD Score,IRSAD Decile (Greater Sydney),All Green Assets Count,All Green Assets Area,All Green Asset Coverage,All Green Asset Area per Capita,Parks and Gardens Count,Parks and Gardens Area,Parks and Gardens Coverage,Parks and Gardens Area per Capita,Bushland Area,Bushland Count,Bushland Coverage,Bushland Area per Capita,Public Open Spaces Count,Public Open Spaces Area,Public Open Spaces Coverage,Public Open Spaces per Capita,Public Open Space Non Bush Area,Public Open Space Non Bush Count,Public Open Space Non Bush Coverage,Public Open Space Non Bush Per Capita
638,"13517",Schofields,15213,8876500,1117,8,4,58829,0.662749957753619,3.86702162624072,2,6829,0.0769334760322199,0.44889239466246,6845,1,0.077113727257365,0.449944126733715,4,58829,1,3.86702162624072,51984,3,0.585636230496254,3.417077499507
639,"13520",Scotland Island,711,546000,1109,7,13,103414,18.940293040293,145.448663853727,2,20980,3.84249084249084,29.507735583685,76306,5,13.9754578754579,107.322081575246,13,103414,19,145.448663853727,27108,8,4.96483516483516,38.126582278481
640,"13524",Seaforth (NSW),7384,3107900,1181,10,41,553604,17.812799639628,74.9734561213434,22,62225,2.00215579651855,8.42700433369447,385713,12,12.4107275008848,52.2363217768147,36,535545,17,72.5277627302275,149832,24,4.82100453682551,20.2914409534128
641,"13531",Sefton,6300,1814800,945,2,7,211974,11.6802953493498,33.6466666666667,3,56342,3.10458452722063,8.9431746031746,0,0,0,0,4,58714,3,9.31968253968254,58714,4,3.2352876350011,9.31968253968254
642,"13533",Seven Hills (NSW),20095,9629000,996,3,73,926894,9.62606708900197,46.1256033839263,53,476015,4.94355592481047,23.6882309032098,164777,11,1.71125765915464,8.19990047275442,72,926821,10,46.1219706394626,762044,61,7.91405130335445,37.9220701667081
643,"13538",Shalvey,3455,1583900,798,1,10,537180,33.9150198876192,155.479015918958,8,189044,11.9353494538797,54.7160636758321,0,0,0,0,9,204601,13,59.2188133140376,204601,9,12.917545299577,59.2188133140376
644,"13539",Shanes Park,384,8751700,961,2,4,45050,0.514757132899894,117.317708333333,1,1185,0.0135402264702858,3.0859375,2567,1,0.02933144417656,6.68489583333333,3,44584,1,116.104166666667,42017,2,0.480101008946833,109.419270833333
645,"13567",Singletons Mill,0,6024000,,1,2,3726471,61.8604083665339,,0,0,0,,3726471,2,61.8604083665339,,2,3726471,62,,0,0,0,
646,"13559",Silverdale (NSW),4543,48422200,1055,5,15,19912770,41.1232244714201,4383.17631521021,1,43422,0.0896737446873541,9.55800132071318,19824221,5,40.9403558698283,4363.68500990535,13,19905951,41,4381.67532467533,81730,8,0.168786217891793,17.9903147699758
647,"13573",Smeaton Grange,16,2770900,1060,5,5,119283,4.30484680067848,7455.1875,5,119283,4.30484680067848,7455.1875,0,0,0,0,5,119283,4,7455.1875,119283,5,4.30484680067848,7455.1875
648,"13575",Smithfield (NSW),13160,8914900,872,1,36,936284,10.5024621700748,71.1462006079027,21,365635,4.10139205150927,27.7838145896657,99572,7,1.11691662273273,7.56626139817629,36,936284,11,71.1462006079027,836712,29,9.38554554734209,63.5799392097264
649,"13599",South Granville,5829,2190800,863,1,26,450242,20.5514880408983,77.2417224223709,12,30346,1.38515610735804,5.20603877165895,130107,5,5.93878948329377,22.3206381883685,21,310582,14,53.2822096414479,180475,16,8.23785831659668,30.9615714530794
650,"13603",South Hurstville,5221,1041700,1022,4,11,20120,1.93145819333781,3.85366787971653,7,9258,0.888739560334069,1.77322352039839,0,0,0,0,10,17916,2,3.43152652748516,17916,10,1.71988096380916,3.43152652748516
651,"13595",South Coogee,5611,1132200,1065,5,31,174060,15.3736089030207,31.0212083407592,26,58594,5.175234057587,10.4427018356799,0,0,0,0,30,137991,12,24.5929424345037,137991,30,12.1878643349232,24.5929424345037
652,"13608",South Maroota,613,34860200,1069,5,5,3350796,9.61209631614276,5466.2251223491,0,0,0,0,3265878,3,9.36850046758194,5327.69657422512,4,3287409,9,5362.82055464927,21531,1,0.0617638453020924,35.1239804241436
653,"13612",South Penrith,12005,5060000,975,2,40,873524,17.2633201581028,72.763348604748,25,242718,4.79679841897233,20.2180758017493,0,0,0,0,38,839195,17,69.9037900874636,839195,38,16.5848814229249,69.9037900874636
654,"13614",South Turramurra,3208,3062100,1173,10,26,1597937,52.1843506090591,498.110037406484,6,21001,0.685836517422684,6.5464463840399,1414531,7,46.1948009535939,440.938591022444,17,1507091,49,469.791458852868,92560,10,3.02276215668985,28.8528678304239
655,"13615",South Wentworthville,6913,1808300,995,3,15,52824,2.92119670408671,7.64125560538117,14,45925,2.53967815074932,6.64328077535079,0,0,0,0,15,52824,3,7.64125560538117,52824,15,2.92119670408671,7.64125560538117
656,"13617",South Windsor,5948,8905200,911,1,23,774866,8.70127565916543,130.273369199731,10,93663,1.0517787360194,15.7469737726967,566388,7,6.36019404392939,95.2232683254876,23,774866,9,130.273369199731,208478,16,2.34108161523604,35.0501008742434
657,"13628",Spring Farm (NSW),9868,6357100,1049,5,10,606582,9.54180365260889,61.469598702878,8,322896,5.0792971638011,32.7215241183624,283686,2,4.46250648880779,28.7480745845156,10,606582,10,61.469598702878,322896,8,5.0792971638011,32.7215241183624
658,"13644",Springwood (NSW),8423,19395400,1055,5,62,4314404,22.2444703383276,512.217024813012,6,1410829,7.27403920517236,167.497210020183,1959179,36,10.1012559679099,232.59871779651,50,3426710,18,406.827733586608,1467531,14,7.56638687523846,174.229015790099
659,"13645",St Albans (NSW),161,107432400,1010,3,7,68102593,63.3911119922854,422997.472049689,0,0,0,0,68092064,5,63.3813114107104,422932.074534161,7,68102593,63,422997.472049689,10529,2,0.00980058157501834,65.3975155279503
660,"13646",St Andrews (NSW),5785,2082200,939,2,15,290503,13.9517337431563,50.2165946413137,15,290503,13.9517337431563,50.2165946413137,0,0,0,0,15,290503,14,50.2165946413137,290503,15,13.9517337431563,50.2165946413137
661,"13647",St Clair (Penrith - NSW),19942,7203500,976,2,63,936785,13.0045811064066,46.9754788887775,29,139646,1.9385854098702,7.0026075619296,108688,3,1.50882210036788,5.45020559622906,61,926549,13,46.4621903520209,817861,58,11.3536614145901,41.0119847557918
662,"13652",St Helens Park,6647,5164700,944,2,25,1468439,28.4322225879528,220.917556792538,10,99203,1.92078920363235,14.9244772077629,546037,4,10.5724824287955,82.1478862644802,17,930988,18,140.061381074169,384951,13,7.45350165546886,57.9134948096886
663,"13655",St Ives Chase,3283,3479100,1172,10,16,1461036,41.9946537897732,445.030764544624,5,20319,0.584030352677417,6.18915625951873,1342662,6,38.592222126412,408.974109046604,14,1395945,40,425.204081632653,53283,8,1.53151677157886,16.2299725860493
664,"13654",St Ives (NSW),18384,14263400,1161,9,79,5190322,36.3890937644601,282.328220191471,26,119059,0.834716827684844,6.47622932985205,4428933,40,31.0510327130979,240.912369451697,75,4977317,35,270.741786335944,548384,35,3.84469341110815,29.8294168842472
665,"13656",St Johns Park,6302,1981900,929,1,19,308587,15.5702608607901,48.9665185655347,15,167673,8.46021494525455,26.606315455411,0,0,0,0,19,308587,16,48.9665185655347,308587,19,15.5702608607901,48.9665185655347
666,"13664",Stanhope Gardens,9349,2840300,1123,8,9,327012,11.5132908495581,34.9782864477484,7,180881,6.36837657993874,19.3476307626484,74735,1,2.63123613702778,7.99390309123971,9,327012,12,34.9782864477484,252277,8,8.88205471253037,26.9843833565087
667,"13690",Strathfield (NSW),25915,6549700,1086,6,20,679336,10.3720170389483,26.2140073316612,9,57767,0.881979327297434,2.22909511865715,0,0,0,0,12,144915,2,5.59193517267992,144915,12,2.21254408598867,5.59193517267992
668,"13691",Strathfield South,3636,2511200,1069,5,7,152619,6.07753265371137,41.9744224422442,3,124609,4.96212965912711,34.270902090209,0,0,0,0,4,148403,6,40.8149064906491,148403,4,5.90964479133482,40.8149064906491
669,"13706",Sun Valley (NSW),234,2293200,1092,7,5,116354,5.07387057387057,497.239316239316,0,0,0,0,41889,3,1.82666143380429,179.012820512821,4,88841,4,379.662393162393,46952,1,2.04744461887319,200.649572649573
670,"13702",Summer Hill (Inner West - NSW),7288,1203100,1121,8,11,30431,2.52938242872579,4.17549396267838,9,12195,1.01363145208212,1.67329857299671,0,0,0,0,10,27009,2,3.70595499451153,27009,10,2.2449505444269,3.70595499451153
671,"13714",Surry Hills,15828,1316400,1138,8,29,107478,8.16453965360073,6.79037149355572,14,8245,0.626329383166211,0.520912307303513,0,0,0,0,28,107263,8,6.77678797068486,107263,28,8.14820723184442,6.77678797068486
672,"13716",Sutherland (NSW),11570,3571300,1047,5,51,1179481,33.0266569596505,101.943042350908,26,36795,1.03029709069527,3.18020743301642,338276,5,9.4720689944838,29.2373379429559,49,672685,19,58.1404494382022,334409,44,9.36378909640747,28.9031114952463
673,"13730",Sydney,16667,2939600,1107,7,39,971598,33.0520478976732,58.2947141057179,20,735162,25.0089127772486,44.1088378232435,0,0,0,0,39,971598,33,58.2947141057179,971598,39,33.0520478976732,58.2947141057179
674,"13731",Sydney Olympic Park,4848,6640200,1111,7,26,4452722,67.0570464745038,918.465759075908,16,3238826,48.7760308424445,668.074669966997,131954,2,1.98719918074757,27.2182343234323,26,4452722,67,918.465759075908,4320768,24,65.0698472937562,891.247524752475
675,"13732",Sylvania,10749,3362500,1069,5,32,178738,5.3156282527881,16.6283375197693,20,60561,1.80107063197026,5.63410549818588,26081,5,0.77564312267658,2.42636524327844,29,162678,5,15.1342450460508,136597,24,4.06236431226766,12.7078798027724
676,"13733",Sylvania Waters,3200,1060100,1093,7,20,126256,11.9098198283181,39.455,15,68626,6.47354023205358,21.445625,1990,1,0.187718139798132,0.621875,20,126256,12,39.455,124266,19,11.72210168852,38.833125
677,"13742",Tahmoor,5777,16978400,954,2,17,307297,1.80992908636856,53.1931798511338,12,92079,0.542330254912124,15.9388956205643,3776,2,0.0222400226169722,0.653626449714385,17,307297,2,53.1931798511338,303521,15,1.78768906375159,52.5395534014194
678,"13747",Tallawong,6570,3640600,1132,8,1,40353,1.10841619513267,6.14200913242009,0,0,0,0,40353,1,1.10841619513267,6.14200913242009,1,40353,1,6.14200913242009,0,0,0,0
679,"13757",Tamarama,1478,300100,1209,10,9,76123,25.3658780406531,51.5040595399188,1,447,0.148950349883372,0.302435723951286,30546,3,10.1786071309563,20.6671177266576,4,30993,10,20.9695534506089,447,1,0.148950349883372,0.302435723951286
680,"13797",Telopea,5356,1464800,1010,3,16,252224,17.2190060076461,47.091859596714,13,89216,6.09066084107045,16.6572068707991,151997,2,10.376638448935,28.3788274831964,16,252224,17,47.091859596714,100227,14,6.84236755871109,18.7130321135175
681,"13800",Tempe,3550,1853900,1084,6,15,354024,19.0961756297535,99.7250704225352,10,40465,2.18269593829225,11.3985915492958,0,0,0,0,15,354024,19,99.7250704225352,354024,15,19.0961756297535,99.7250704225352
682,"13801",Ten Mile Hollow,6,4601200,1010,3,2,1577371,34.281730852821,262895.166666667,0,0,0,0,1577371,2,34.281730852821,262895.166666667,2,1577371,34,262895.166666667,0,0,0,0
683,"13781",Taren Point,1879,1358600,1067,5,21,117309,8.63455027233917,62.4316125598723,15,40194,2.95848667746209,21.391165513571,0,0,0,0,19,116054,9,61.7637040979244,116054,19,8.54217576917415,61.7637040979244
684,"13819",Terrey Hills,3142,8446800,1118,8,26,672384,7.96022162238954,213.998726925525,7,17715,0.209724392669413,5.63812858052196,353210,9,4.18158355827059,112.415658816041,26,672384,8,213.998726925525,319174,17,3.77863806411896,101.583068109484
685,"13804",Tennyson (NSW),379,8703100,1055,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,"13805",Tennyson Point,1247,449100,1162,9,3,30824,6.86350478735248,24.7185244587009,1,27234,6.06412825651303,21.8396150761828,2741,1,0.610331774660432,2.19807538091419,3,30824,7,24.7185244587009,28083,2,6.25317301269205,22.5204490777867
687,"13833",The Devils Wilderness,0,107468400,,1,5,107359893,99.8990335763815,,0,0,0,,107359893,5,99.8990335763815,,5,107359893,100,,0,0,0,
688,"13851",The Ponds,16315,4653400,1162,9,7,330434,7.1009154596639,20.2533864541833,3,75548,1.62350109597284,4.63058535090408,4007,1,0.0861090815317832,0.245602206558382,7,330434,7,20.2533864541833,326427,6,7.01480637813212,20.0077842476249
689,"13847",The Oaks,2982,38916400,1028,4,8,153578,0.394635680587105,51.5016767270288,6,39705,0.102026395041679,13.3148893360161,0,0,0,0,8,153578,0,51.5016767270288,153578,8,0.394635680587105,51.5016767270288
690,"13858",The Slopes,327,3503900,1045,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,"13861",Theresa Park,600,16849500,1070,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,"13863",Thirlmere,4986,32828700,984,3,11,9316630,28.3795276693868,1868.55796229442,5,17835,0.0543274634694642,3.57701564380265,9213426,4,28.0651564027817,1847.85920577617,11,9316630,28,1868.55796229442,103204,7,0.314371266605135,20.6987565182511
693,"13866",Thornleigh,8898,3870000,1122,8,23,624027,16.1247286821705,70.1311530681052,8,48072,1.24217054263566,5.40256237356709,465901,11,12.0387855297158,52.3601933018656,23,624027,16,70.1311530681052,158126,12,4.08594315245478,17.7709597662396
694,"14183",Warrawee,3170,1337600,1178,10,7,16654,1.24506578947368,5.25362776025237,5,6380,0.476973684210526,2.01261829652997,10274,2,0.768092105263158,3.2410094637224,7,16654,1,5.25362776025237,6380,5,0.476973684210526,2.01261829652997
695,"13925",Toongabbie (NSW),16177,4733400,1025,4,46,528404,11.1633075590485,32.6639055449094,29,317940,6.71694764862467,19.6538295110342,106090,13,2.24130646047239,6.55807628113989,46,528404,11,32.6639055449094,422314,33,8.92200109857608,26.1058292637696
696,"14000",Turrella,2673,639700,1031,4,6,38868,6.07597311239644,14.5409652076319,4,4096,0.640300140690949,1.53236064347175,31651,1,4.94778802563702,11.8410026187804,6,38868,6,14.5409652076319,7217,5,1.12818508675942,2.69996258885148
697,"13998",Turramurra,12850,6001200,1166,10,38,1017499,16.9549256815304,79.1828015564202,11,50660,0.844164500433247,3.94241245136187,789324,13,13.1527694461108,61.4259922178988,36,965983,16,75.1737743190662,176659,23,2.94372792108245,13.7477821011673
698,"14024",Ultimo,7410,558800,1074,6,10,14427,2.58178239083751,1.94696356275304,6,5657,1.01234788833214,0.763427800269906,0,0,0,0,10,14427,3,1.94696356275304,14427,10,2.58178239083751,1.94696356275304
699,"14035",Upper Colo,48,55718900,1044,4,4,43774258,78.5626744246566,911963.708333333,0,0,0,0,43774258,4,78.5626744246566,911963.708333333,4,43774258,79,911963.708333333,0,0,0,0
700,"14052",Upper Macdonald,42,55607800,1010,3,1,236168,0.424703009290064,5623.04761904762,0,0,0,0,236168,1,0.424703009290064,5623.04761904762,1,236168,0,5623.04761904762,0,0,0,0
701,"14087",Valley Heights,1188,2184000,1076,6,12,562798,25.7691391941392,473.73569023569,2,14226,0.651373626373626,11.9747474747475,543539,8,24.8873168498168,457.524410774411,10,557765,26,469.499158249158,14226,2,0.651373626373626,11.9747474747475
702,"14089",Vaucluse,9510,3106500,1172,10,41,637196,20.5117012715274,67.0027339642482,21,179442,5.77633993239981,18.8687697160883,278912,4,8.97833574762595,29.3282860147213,30,573811,18,60.3376445846477,294899,26,9.49296636085627,31.0093585699264
703,"14092",Villawood,7051,3925600,821,1,14,131648,3.35357652333401,18.6708268330733,12,45241,1.1524607703281,6.41625301375691,0,0,0,0,14,131648,3,18.6708268330733,131648,14,3.35357652333401,18.6708268330733
704,"14094",Vineyard,1143,10618300,943,2,5,151076,1.42278895868454,132.174978127734,1,16289,0.153404970663854,14.2510936132983,1118,1,0.0105289923999134,0.978127734033246,4,129357,1,113.173228346457,128239,3,1.20771686616502,112.195100612423
705,"14097",Voyager Point,1678,1730200,1129,8,7,518343,29.9585597040805,308.905244338498,7,518343,29.9585597040805,308.905244338498,0,0,0,0,7,518343,30,308.905244338498,518343,7,29.9585597040805,308.905244338498
706,"14103",Wahroonga,17853,9750400,1157,9,72,1240356,12.721078109616,69.4760544446312,23,39249,0.402537331801772,2.19845404133759,1021854,28,10.4801238923531,57.2371030078978,59,1152257,12,64.5413655968185,130403,31,1.33741179849032,7.30426258892063
707,"14104",Waitara,7837,761800,1084,6,8,38103,5.00170648464164,4.86193696567564,5,5497,0.721580467314256,0.70141635830037,183,1,0.0240220530322919,0.0233507719790736,8,38103,5,4.86193696567564,37920,7,4.97768443160935,4.83858619369657
708,"14119",Wallacia,1711,25534300,997,3,11,298059,1.16728870578007,174.201636469901,4,160214,0.627446219399004,93.6376388077148,137845,7,0.539842486381064,80.5639976621859,11,298059,1,174.201636469901,160214,4,0.627446219399004,93.6376388077148
709,"14166",Wareemba,1519,317000,1124,8,1,740,0.233438485804416,0.487162606978275,1,740,0.233438485804416,0.487162606978275,0,0,0,0,1,740,0,0.487162606978275,740,1,0.233438485804416,0.487162606978275
710,"14176",Warragamba,1202,5146600,908,1,17,1039971,20.2069521625928,865.200499168053,1,8313,0.161524113006645,6.91597337770383,863069,2,16.7696926125986,718.027454242928,17,1039971,20,865.200499168053,176902,15,3.43725954999417,147.173044925125
711,"14191",Warriewood,8379,4136000,1118,8,33,1139464,27.5499032882012,135.990452321279,14,162109,3.91946324951644,19.3470581214942,412898,7,9.98302707930367,49.2777181047858,29,1124166,27,134.164697457931,711268,22,17.197001934236,84.8869793531448
712,"14192",Warrimoo,2452,8575800,1074,6,22,1111374,12.9594206954453,453.252039151713,1,6963,0.0811935912684531,2.83972267536705,826842,14,9.64157279787308,337.211256117455,18,1106265,13,451.168433931485,279423,4,3.25827328062688,113.957177814029
713,"14195",Warwick Farm,6135,4612600,864,1,18,664296,14.4017690673373,108.279706601467,12,200979,4.35717382820969,32.759413202934,0,0,0,0,15,468066,10,76.2943765281174,468066,15,10.1475523565885,76.2943765281174
714,"14200",Waterfall,522,17582900,1031,4,23,1366741,7.77312616235092,2618.27777777778,6,23736,0.134994796080283,45.4712643678161,1071572,11,6.0943985349402,2052.81992337165,19,1154347,7,2211.39272030651,82775,8,0.470769895750985,158.572796934866
715,"14201",Waterloo (NSW),16379,1133900,1074,6,20,62602,5.52094540964812,3.82208926063862,10,11712,1.03289531704736,0.715061969595213,0,0,0,0,20,62602,6,3.82208926063862,62602,20,5.52094540964812,3.82208926063862
716,"14205",Watsons Bay,883,608300,1160,9,18,244025,40.1158967614664,276.359003397509,9,87788,14.4316948873911,99.4201585503964,143112,3,23.5265493999671,162.074745186863,18,244025,40,276.359003397509,100913,15,16.5893473614993,114.284258210646
717,"14210",Wattle Grove (NSW),8886,2591100,1068,5,29,294842,11.3790282119563,33.1805086653162,28,205048,7.9135502296322,23.0753995048391,0,0,0,0,29,294842,11,33.1805086653162,294842,29,11.3790282119563,33.1805086653162
718,"14217",Waverley (NSW),4216,600700,1161,9,3,15801,2.63043116364242,3.74786527514232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,"14219",Waverton,2981,702500,1170,10,22,206037,29.3291103202847,69.1167393492117,12,145076,20.6513879003559,48.6668903052667,0,0,0,0,18,161067,23,54.0311975847031,161067,18,22.9276868327402,54.0311975847031
720,"14225",Webbs Creek,55,112583700,1010,3,2,84188669,74.7787370640688,1530703.07272727,0,0,0,0,84188669,2,74.7787370640688,1530703.07272727,2,84188669,75,1530703.07272727,0,0,0,0
721,"14226",Wedderburn (NSW),665,25376100,1044,4,6,5685889,22.4064730198888,8550.20902255639,0,0,0,0,5685889,6,22.4064730198888,8550.20902255639,6,5685889,22,8550.20902255639,0,0,0,0
722,"14243",Wentworth Falls,6428,21035800,1036,4,74,4601555,21.8748752127326,715.861076540137,7,367570,1.74735450993069,57.1826384567517,3828768,44,18.2011998592875,595.639079029247,55,4345487,21,676.024735532047,516719,11,2.45637912511053,80.3856565028002
723,"14244",Wentworth Point,12703,573900,1111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,"14245",Wentworthville,15098,3120300,1046,5,28,236250,7.57138736659936,15.6477679162803,15,109687,3.51527096753517,7.26500198701815,61820,6,1.98121975451078,4.09458206384952,27,234590,8,15.5378195787522,172770,21,5.5369675992693,11.4432375149026
725,"14249",Werombi,941,32049600,1052,5,2,5044789,15.7405677449953,5361.09351753454,0,0,0,0,5044789,2,15.7405677449953,5361.09351753454,2,5044789,16,5361.09351753454,0,0,0,0
726,"14252",Werrington,5328,4506800,932,1,31,1327201,29.4488550634597,249.099286786787,8,149858,3.32515310197923,28.1265015015015,25724,1,0.570781929528712,4.82807807807808,13,341230,8,64.0446696696697,315506,12,7.00066566077927,59.2165915915916
727,"14253",Werrington County,3698,2089800,973,2,13,673879,32.2461001052732,182.227961060032,7,92628,4.43238587424634,25.0481341265549,113950,2,5.45267489711934,30.8139534883721,10,214520,10,58.0097349918875,100570,8,4.81242224136281,27.1957815035154
728,"14254",Werrington Downs,3221,1109200,999,3,9,144228,13.0028849621349,44.777398323502,7,75025,6.76388388027407,23.292455759081,0,0,0,0,9,144228,13,44.777398323502,144228,9,13.0028849621349,44.777398323502
729,"14263",West Hoxton,10152,6708100,1026,4,44,4472109,66.6672977445178,440.515070921986,40,3736948,55.7079948122419,368.099684791174,0,0,0,0,42,3868516,58,381.059495665879,3868516,42,57.6693251442286,381.059495665879
730,"14266",West Pennant Hills,16620,9291600,1156,9,43,936219,10.0759718455379,56.3308664259928,28,169841,1.82789831675922,10.2190734055355,664216,12,7.14856429463171,39.964861612515,42,932786,10,56.1243080625752,268570,30,2.8904602006113,16.1594464500602
731,"14267",West Pymble,5441,3683600,1172,10,39,1263179,34.2919698121403,232.159345708509,20,85012,2.30785101531111,15.6243337621761,1072015,13,29.1023726789011,197.025362984745,38,1218369,33,223.923727256019,146354,25,3.97312411771093,26.8983642712737
732,"14268",West Ryde,13171,3566000,1078,6,3,136140,3.81772293886708,10.3363450003796,1,114061,3.19856982613573,8.6600106294131,17567,1,0.492624789680314,1.3337635714828,3,136140,4,10.3363450003796,118573,2,3.32509814918676,9.00258142889682
733,"14277",Westleigh,4501,3821000,1157,9,14,1801921,47.1583616854227,400.337924905577,3,41184,1.07783302800314,9.14996667407243,1760737,11,46.0805286574195,391.187958231504,14,1801921,47,400.337924905577,41184,3,1.07783302800314,9.14996667407243
734,"14278",Westmead,16555,2925600,1050,5,13,104462,3.57061799289035,6.30999697976442,9,10021,0.342528028438611,0.60531561461794,61192,1,2.09160514082581,3.6962851102386,13,104462,4,6.30999697976442,43270,12,1.47901285206453,2.61371186952582
735,"14281",Wetherill Park,6412,11214400,940,2,28,508398,4.53343914966472,79.288521522146,20,288906,2.57620559280925,45.057080474111,1922,1,0.0171386788414895,0.299750467872739,23,351942,3,54.8880224578915,350020,22,3.12116564417178,54.5882719900187
736,"14284",Whale Beach,315,497300,1155,9,17,175474,35.2853408405389,557.060317460317,4,3764,0.756887190830485,11.9492063492063,12148,2,2.44279107178765,38.5650793650794,12,156476,31,496.749206349206,144328,10,29.0223205308667,458.184126984127
737,"14285",Wheeler Heights,3232,852000,1127,8,9,22147,2.59941314553991,6.85241336633663,6,8796,1.03239436619718,2.72153465346535,13351,3,1.56701877934272,4.13087871287129,9,22147,3,6.85241336633663,8796,6,1.03239436619718,2.72153465346535
738,"14286",Wheeny Creek,74,55427700,1044,4,2,42088622,75.9342747398864,568765.162162162,1,99,0.000178611055483089,1.33783783783784,42088523,1,75.9340961288309,568763.824324324,2,42088622,76,568765.162162162,99,1,0.000178611055483089,1.33783783783784
739,"14283",Whalan,5929,2429400,804,1,15,685065,28.198938009385,115.544779895429,13,61593,2.53531736231168,10.3884297520661,0,0,0,0,14,683993,28,115.363973688649,683993,14,28.1548118877089,115.363973688649
740,"14305",Wilberforce (NSW),2957,32102500,1030,4,11,248539,0.774204501207071,84.0510652688536,4,59091,0.184069776497158,19.9834291511667,86835,4,0.270492952262285,29.3659113966858,10,233244,1,78.8785931687521,146409,6,0.456067284479402,49.5126817720663
741,"14310",Wiley Park,10016,1362200,897,1,6,82857,6.08258699163119,8.27246405750799,6,82857,6.08258699163119,8.27246405750799,0,0,0,0,6,82857,6,8.27246405750799,82857,6,6.08258699163119,8.27246405750799
742,"14401",Woodford (NSW),1953,7227000,1041,4,18,1270590,17.5811540058115,650.583717357911,6,280381,3.87963193579632,143.564260112647,954782,9,13.2113186661132,488.879672299027,15,1235163,17,632.443932411674,280381,6,3.87963193579632,143.564260112647
743,"14319",Willmot,2382,914800,762,1,15,204452,22.3493659816353,85.8320738874895,11,88702,9.69632706602536,37.2384550797649,109092,2,11.9252295583734,45.7984886649874,14,204430,22,85.8228379513014,95338,12,10.4217315260166,40.024349286314
744,"14320",Willoughby (NSW),7124,1627700,1148,9,15,123124,7.56429317441789,17.2829870859068,5,20662,1.26939853781409,2.90033688938798,2008,2,0.123364256312588,0.28186412128018,13,119069,7,16.7137843907917,117061,11,7.19180438655772,16.4319202695115
745,"14321",Willoughby East,1864,561200,1186,10,3,54456,9.70349251603706,29.2145922746781,1,3492,0.62223806129722,1.87339055793991,0,0,0,0,2,53302,9,28.5954935622318,53302,2,9.49786172487527,28.5954935622318
746,"14408",Woodpark,1706,386600,978,2,6,16927,4.37842731505432,9.92203985932005,6,16927,4.37842731505432,9.92203985932005,0,0,0,0,6,16927,4,9.92203985932005,16927,6,4.37842731505432,9.92203985932005
747,"14329",Wilton (NSW),3767,109143200,1090,6,6,46790214,42.8704802498003,12421.0814972126,0,0,0,0,46651736,3,42.7436028996768,12384.3206795859,6,46790214,43,12421.0814972126,138478,3,0.126877350123507,36.7608176267587
748,"14344",Windsor Downs,1183,7575700,1078,6,1,3311962,43.718230658553,2799.62975486052,0,0,0,0,3311962,1,43.718230658553,2799.62975486052,1,3311962,44,2799.62975486052,0,0,0,0
749,"14343",Windsor (NSW),1915,4134000,969,2,13,372951,9.02155297532656,194.752480417755,6,192817,4.66417513304306,100.68772845953,67551,4,1.63403483309144,35.2746736292428,11,343619,8,179.435509138381,276068,7,6.67798742138365,144.160835509138
750,"14352",Winmalee,6388,9057600,1053,5,22,1648178,18.1966304539834,258.011584220413,3,11335,0.12514352587882,1.77442078897934,974538,13,10.7593402225755,152.557608015028,19,1207441,13,189.017063243582,232903,6,2.57135444267797,36.4594552285535
751,"14353",Winston Hills,12123,4738700,1095,7,54,700890,14.7907653997932,57.8148973026479,38,207352,4.3757148585055,17.1040171574693,423699,12,8.94124970983603,34.950012373175,54,700890,15,57.8148973026479,277191,42,5.84951568995716,22.8648849294729
752,"14362",Wisemans Ferry,233,13467300,988,3,14,3310789,24.5839106576671,14209.3948497854,2,52536,0.390100465572164,225.476394849785,2680579,7,19.9043535081271,11504.6309012876,11,2860459,21,12276.6480686695,179880,4,1.33567975763516,772.017167381974
753,"14371",Wolli Creek,10654,661400,1115,8,5,79532,12.0247958875113,7.46498967523935,1,1053,0.159207741155126,0.0988361178899944,0,0,0,0,3,73957,11,6.94171203303923,73957,3,11.1818869065618,6.94171203303923
754,"14377",Wollstonecraft,8115,1202800,1171,10,37,184774,15.3619886930496,22.7694393099199,16,31702,2.63568340538743,3.90659272951325,85361,9,7.09685733288992,10.5189155884165,26,117436,10,14.4714725816389,32075,17,2.66669437978051,3.95255699322243
755,"14386",Womerah,0,128063700,,1,1,53055227,41.4287788030488,,0,0,0,,53055227,1,41.4287788030488,,1,53055227,41,,0,0,0,
756,"14396",Woodbine (NSW),2780,1614300,959,2,11,567146,35.1326271448925,204.009352517986,10,482869,29.9119742303165,173.693884892086,0,0,0,0,11,567146,35,204.009352517986,567146,11,35.1326271448925,204.009352517986
757,"14399",Woodcroft (NSW),6597,1693000,1066,5,9,193001,11.3999409332546,29.2558738820676,5,125848,7.43343177790904,19.0765499469456,36732,3,2.16963969285292,5.56798544793088,9,193001,11,29.2558738820676,156269,6,9.23030124040165,23.6878884341367
