fid,sal_code_2021,sal_name_2021,Population,SAL Area,IRSAD Score,IRSAD Decile (Greater Sydney),All Green Assets Count,All Green Assets Area,All Green Asset Coverage,All Green Asset Area per Capita,Parks and Gardens Count,Parks and Gardens Area,Parks and Gardens Coverage,Parks and Gardens Area per Capita,Bushland Area,Bushland Count,Bushland Coverage,Bushland Area per Capita,Public Open Spaces Count,Public Open Spaces Area,Public Open Spaces Coverage,Public Open Spaces per Capita,Public Open Space Non Bush Area,Public Open Space Non Bush Count,Public Open Space Non Bush Coverage,Public Open Space Non Bush Per Capita
614,"13411",Ropes Crossing,7280,5503000,1026,4,3,647049,11.758113756133,88.8803571428571,0,0,0,0,645534,2,11.7305833181901,88.6722527472527,2,645534,12,88.6722527472527,0,0,0,0
615,"13412",Rose Bay (NSW),9911,2530200,1157,9,21,872652,34.4894474745079,88.0488346281909,14,19419,0.767488736068295,1.95933810917163,0,0,0,0,18,116430,5,11.7475532236908,116430,18,4.60161252074935,11.7475532236908
616,"13419",Rosebery (NSW),13533,1927900,1117,8,13,61593,3.19482338295555,4.55131899800488,8,31450,1.63130867783599,2.32394886573561,0,0,0,0,11,58776,3,4.34316116160497,58776,11,3.04870584573889,4.34316116160497
617,"13422",Rosehill (NSW),4047,3670400,1011,3,5,23792,0.64821272885789,5.87892265875958,3,20656,0.562772449869224,5.10402767482085,2688,1,0.0732345248474281,0.664195700518903,5,23792,1,5.87892265875958,21104,4,0.574978204010462,5.21472695824067
618,"13423",Roselands,12356,2744700,992,3,15,52901,1.92738732830546,4.28140174813856,13,32989,1.20191642073815,2.66987698284234,0,0,0,0,15,52901,2,4.28140174813856,52901,15,1.92738732830546,4.28140174813856
619,"13424",Rosemeadow,8007,3009700,909,1,18,339160,11.2688972322823,42.3579368052954,13,149609,4.97089410904741,18.6847758211565,0,0,0,0,18,339160,11,42.3579368052954,339160,18,11.2688972322823,42.3579368052954
620,"13426",Roseville,10340,3923000,1167,10,40,202110,5.15192454754015,19.5464216634429,19,40097,1.02210043334183,3.87785299806576,94331,8,2.40456283456538,9.12292069632495,34,188239,5,18.2049323017408,93908,26,2.39378027020138,9.08201160541586
621,"13427",Roseville Chase,1618,1264400,1194,10,26,468354,37.0416007592534,289.46477132262,9,14272,1.12875672255615,8.82076637824475,290141,11,22.9469313508383,179.320766378245,22,337798,27,208.775030902349,47657,11,3.7691395128124,29.4542645241038
622,"13448",Royal National Park,0,139156500,,1,19,97752048,70.2461243276455,,3,15861,0.0113979584137284,,97243622,7,69.8807615885711,,12,97266257,70,,22635,5,0.0162658589429887,
623,"13434",Rossmore (NSW),2241,16346100,971,2,2,859747,5.25964603177516,383.644355198572,1,795962,4.86943062871266,355.18161535029,0,0,0,0,2,859747,5,383.644355198572,859747,2,5.25964603177516,383.644355198572
624,"13444",Rouse Hill,11349,12822600,1115,8,23,988043,7.70548094770171,87.0599171733192,11,113999,0.889047463073012,10.0448497664993,558841,4,4.35825027685493,49.2414309630804,18,878600,7,77.4165124680589,319759,14,2.49371422332444,28.1750815049784
625,"13450",Rozelle,8553,1833700,1171,10,19,120351,6.56328734253149,14.0712030866363,12,49258,2.68626274745051,5.7591488366655,0,0,0,0,15,97387,5,11.3862972056588,97387,15,5.31095599062006,11.3862972056588
626,"13458",Ruse,5632,2595600,960,2,20,704830,27.1548004314995,125.147372159091,6,64746,2.49445214979196,11.49609375,277359,6,10.6857374017568,49.2469815340909,15,455524,18,80.8813920454545,178165,9,6.86411619664047,31.6344105113636
627,"13459",Rushcutters Bay,2335,157400,1144,9,4,49256,31.2935196950445,21.0946466809422,3,430,0.273189326556544,0.184154175588865,0,0,0,0,4,49256,31,21.0946466809422,49256,4,31.2935196950445,21.0946466809422
628,"13462",Russell Lea,4920,1004400,1127,8,5,3807,0.379032258064516,0.773780487804878,5,3807,0.379032258064516,0.773780487804878,0,0,0,0,5,3807,0,0.773780487804878,3807,5,0.379032258064516,0.773780487804878
629,"13468",Rydalmere,7274,3834200,1030,4,26,546820,14.2616451932607,75.1745944459719,15,175502,4.57727818058526,24.1273027220236,211655,6,5.52018674038913,29.0974704426725,24,536343,14,73.7342590046742,324688,18,8.46820718794012,44.6367885620016
630,"13469",Ryde,31907,7101500,1085,6,7,1104751,15.5565866366261,34.6240950261698,2,222687,3.13577413222559,6.97925220171122,517888,2,7.29265648102514,16.2311718431692,6,951925,13,29.8343623656251,434037,4,6.11190593536577,13.6031905224559
631,"13473",Sackville,230,5088900,1030,4,3,116952,2.29817838825679,508.486956521739,0,0,0,0,116952,3,2.29817838825679,508.486956521739,3,116952,2,508.486956521739,0,0,0,0
632,"13474",Sackville North,388,13090700,1061,5,3,1864061,14.2395822988839,4804.28092783505,1,3098,0.0236656557708908,7.98453608247423,1821150,1,13.9117847021168,4693.68556701031,3,1864061,14,4804.28092783505,42911,2,0.327797596767171,110.595360824742
633,"13493",Sandringham (NSW),1275,495300,1091,6,9,88374,17.8425196850394,69.3129411764706,6,69682,14.0686452654957,54.6525490196078,0,0,0,0,7,83983,17,65.8690196078431,83983,7,16.9559862709469,65.8690196078431
634,"13562",Silverwater (Parramatta - NSW),3600,2700000,1025,4,9,75261,2.78744444444444,20.9058333333333,8,74869,2.77292592592593,20.7969444444444,0,0,0,0,9,75261,3,20.9058333333333,75261,9,2.78744444444444,20.9058333333333
635,"13502",Sandy Point (NSW),597,398500,1133,8,3,279,0.0700125470514429,0.467336683417085,1,49,0.0122961104140527,0.0820770519262982,191,1,0.0479297365119197,0.319932998324958,2,240,0,0.402010050251256,49,1,0.0122961104140527,0.0820770519262982
636,"13504",Sans Souci,10864,3065100,1052,5,30,275964,9.0034256631105,25.4016936671576,20,205809,6.71459332485074,18.9441273932253,0,0,0,0,27,272252,9,25.0600147275405,272252,27,8.88232031581351,25.0600147275405
637,"13516",Scheyville,7,7412000,1039,4,1,7226769,97.5009309228278,1032395.57142857,0,0,0,0,7226769,1,97.5009309228278,1032395.57142857,1,7226769,98,1032395.57142857,0,0,0,0
